x1,y1,z1,x2,y2,z2
90.0, 0.0, 0.0, 104.0, 31.0, 9.0
0.0, 159.0, 11.0, 60.0, 240.0, 22.0
33.0, 179.0, 0.0, 58.0, 240.0, 9.0
0.0, 167.0, 0.0, 14.0, 240.0, 7.0
0.0, 62.0, 46.0, 63.0, 129.0, 71.0
89.0, 0.0, 26.0, 149.0, 63.0, 41.0
157.0, 131.0, 16.0, 240.0, 167.0, 31.0
62.0, 178.0, 8.0, 160.0, 240.0, 20.0
30.0, 0.0, 16.0, 62.0, 60.0, 37.0
18.0, 73.0, 0.0, 33.0, 153.0, 4.0
68.0, 131.0, 4.0, 131.0, 154.0, 14.0
160.0, 192.0, 0.0, 198.0, 240.0, 19.0
66.0, 0.0, 5.0, 90.0, 31.0, 16.0
92.0, 174.0, 0.0, 160.0, 240.0, 8.0
0.0, 0.0, 0.0, 30.0, 73.0, 20.0
73.0, 86.0, 19.0, 102.0, 170.0, 26.0
0.0, 98.0, 0.0, 18.0, 159.0, 10.0
18.0, 60.0, 20.0, 73.0, 158.0, 24.0
160.0, 75.0, 31.0, 220.0, 175.0, 47.0
131.0, 119.0, 0.0, 169.0, 174.0, 16.0
37.0, 101.0, 0.0, 65.0, 154.0, 7.0
160.0, 175.0, 25.0, 239.0, 235.0, 41.0
182.0, 26.0, 16.0, 240.0, 69.0, 37.0
33.0, 84.0, 0.0, 46.0, 98.0, 8.0
159.0, 48.0, 0.0, 240.0, 83.0, 16.0
30.0, 0.0, 0.0, 61.0, 54.0, 16.0
93.0, 175.0, 39.0, 154.0, 237.0, 61.0
62.0, 0.0, 0.0, 86.0, 30.0, 5.0
109.0, 82.0, 19.0, 154.0, 156.0, 43.0
58.0, 154.0, 0.0, 89.0, 240.0, 7.0
166.0, 0.0, 0.0, 240.0, 25.0, 7.0
18.0, 73.0, 26.0, 89.0, 150.0, 46.0
0.0, 0.0, 37.0, 66.0, 62.0, 62.0
73.0, 0.0, 19.0, 140.0, 82.0, 26.0
169.0, 83.0, 0.0, 240.0, 131.0, 18.0
65.0, 120.0, 0.0, 105.0, 154.0, 4.0
167.0, 26.0, 6.0, 240.0, 48.0, 15.0
198.0, 192.0, 0.0, 240.0, 235.0, 25.0
84.0, 170.0, 20.0, 154.0, 240.0, 39.0
151.0, 0.0, 7.0, 240.0, 26.0, 19.0
73.0, 36.0, 0.0, 129.0, 50.0, 11.0
151.0, 26.0, 19.0, 182.0, 75.0, 42.0
181.0, 131.0, 0.0, 240.0, 192.0, 15.0
66.0, 50.0, 0.0, 159.0, 116.0, 19.0
154.0, 75.0, 47.0, 240.0, 174.0, 64.0
14.0, 159.0, 0.0, 33.0, 240.0, 11.0
104.0, 0.0, 0.0, 150.0, 36.0, 10.0
14.0, 160.0, 22.0, 59.0, 240.0, 47.0
206.0, 25.0, 0.0, 240.0, 47.0, 6.0
18.0, 99.0, 4.0, 37.0, 159.0, 12.0